O0 | 177108.093300 | 0.000000 | 685.000000
O0 | 177107.894900 | 0.000000 | 480.000000
F1 | 177097.900400 | 177097.900400 | 140.000000
F2 | -2656984258037080400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000 | 2656984258037080400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000 | 0.000000
F3 | 177072.479200 | 2656984258037080400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000 | 25.000000
O0 | 177560.348500 | 0.000000 | 1205.000000
F4 | 177601.043700 | 528.564500 | 25.000000
P1 | 177651.062000 | 177651.062000 | 205.000000
P2 | 177582.305900 | 68.756100 | 205.000000
F5 | 177580.642700 | 20.401000 | 195.000000
P3 | 177533.859300 | 48.446600 | 220.000000
P4 | 177581.924400 | 48.065100 | 200.000000
P5 | 177542.709400 | 39.215000 | 200.000000
P6 | 177560.089100 | 17.379700 | 220.000000
P7 | 177558.303800 | 1.785300 | 215.000000
F6 | 177853.530900 | 272.888200 | 10.000000
P8 | 177556.610100 | 1.693700 | 215.000000
P9 | 177548.980700 | 7.629400 | 200.000000
P10 | 177600.997900 | 52.017200 | 200.000000
P11 | 177553.909300 | 47.088600 | 205.000000
P12 | 177616.226200 | 62.316900 | 230.000000
F7 | 177611.496000 | 242.034900 | 25.000000
F8 | 177645.111100 | 33.615100 | 75.000000
F9 | 177604.538000 | 40.573100 | 115.000000
F10 | 176950.073200 | 654.464800 | 5.000000
P13 | 177594.574000 | 21.652200 | 205.000000
P14 | 177555.511500 | 39.062500 | 215.000000
F11 | 177603.851300 | 653.778100 | 195.000000
